producto,descripcion_x,unidad_x,movimiento,fecha,costo_prom,existencias,cantidad,total_monto
CABFVNP-14,CABLE FV CAL.14-500°,MT,venta,31/07/2023,46.01277,457.22,989.4,93150.31
CABFVNP-14,CABLE FV CAL.14-500°,MT,compra ,21/07/2023,46.01277,457.22,800,35767.8
CABTERKPVC-20,CABLE P/TERMOPAR PVC TK CAL.20,M,venta,09/12/2022,21.20504,87.35,979,44524.74
CABTERKPVC-20,CABLE P/TERMOPAR PVC TK CAL.20,M,compra ,30/11/2022,21.20504,87.35,400,9160
CABTERJPVC-20,CABLE P/TERMOPAR PVC TJ CAL.20,M,venta,15/05/2023,16.43252,222.34,943.65,32909.41
CABTERJPVC-20,CABLE P/TERMOPAR PVC TJ CAL.20,M,compra ,16/01/2023,16.43252,222.34,200,3240
CABFVNP-10,CABLE FV CAL.10-500°,MT,venta,29/06/2023,98.77359,303.4,901,164769.88
CABFVNP-10,CABLE FV CAL.10-500°,MT,compra ,21/07/2023,98.77359,303.4,800,84692.52
AL8020-16,ALAMBRE 8020 CAL.16,M,venta,31/07/2023,17.95268,496.05,860.8,25823.69
AL8020-16,ALAMBRE 8020 CAL.16,M,compra ,14/07/2023,17.95268,496.05,1536.4,27293.98
AL8020-18,ALAMBRE 8020 CAL.18,MT,venta,08/08/2023,7.5139,75.052,822.56,12808.16
AL8020-18,ALAMBRE 8020 CAL.18,MT,compra ,30/06/2023,7.5139,75.052,626.4,6661.02
CABFV-14250°,CABLE FV CAL.14-250°,MT,venta,09/08/2023,20.12487,110.1,750,41270
CABFV-14250°,CABLE FV CAL.14-250°,MT,compra ,29/05/2023,20.12487,110.1,300,6339.39
AL8020-19,ALAMBRE 8020 CAL.19,MT,venta,10/07/2023,9.47393,1505.1332,711.1,9825.95
AL8020-19,ALAMBRE 8020 CAL.19,MT,compra ,24/07/2023,9.47393,1505.1332,3328.56,28195.12
TOPE10-12,TOPE A.T. CAL.12-10,PZ,venta,14/07/2023,2.81809,460,692,4175.3
TOPE10-12,TOPE A.T. CAL.12-10,PZ,compra ,24/07/2023,2.81809,460,400,1098.32
ESPG3MM,ESPAGUETI F.V. C/ACRILICO 3MM Ø,MT,venta,16/06/2023,2.96204,241.215,691,5082.1
ESPG3MM,ESPAGUETI F.V. C/ACRILICO 3MM Ø,MT,compra ,10/04/2023,2.96204,241.215,600,1800
CABFV-16250°,CABLE FV CAL.16-250°,MT,venta,04/08/2023,14.94959,237.4,637,18250.35
CABFV-16250°,CABLE FV CAL.16-250°,MT,compra ,24/02/2023,14.94959,237.4,400,5952.52
CABFV-18250°,CABLE FV CAL.18-250°,MT,venta,19/07/2023,8.1337,291.8,631,17516
CABFV-18250°,CABLE FV CAL.18-250°,MT,compra ,21/07/2023,8.1337,291.8,400,3488.22
AL8020-21,ALAMBRE 8020 CAL.21,MT,venta,07/08/2023,5.39791,2702.6306,621.46,4882.3
AL8020-21,ALAMBRE 8020 CAL.21,MT,compra ,06/07/2023,5.39791,2702.6306,5256,22478.43
TPV003,"CLAVIJA MACHO MINI K""""",PZ,venta,26/07/2023,22.88,42,599,25188.03
TPV003,"CLAVIJA MACHO MINI K""""",PZ,compra ,14/07/2023,22.88,42,476,10304.64
CABFVNP-8,CABLE FV CAL.8-500°,MT,venta,19/06/2023,163.17753,112.7,564,146314.23
CABFVNP-8,CABLE FV CAL.8-500°,MT,compra ,19/06/2023,163.17753,112.7,200,34096
CABFV-10,CABLE FV CAL.10-300°,M,venta,18/07/2023,38.65513,400,557,40163.31
CABFV-10,CABLE FV CAL.10-300°,M,compra ,30/06/2023,38.65513,400,800,36132.25
ESPG-3/8,"ESPAGUETI F.V. C/ACRILICO 3/8(9.5MM)Ø""",MT,venta,08/08/2023,12.39,35,508,12433.06
ESPG-3/8,"ESPAGUETI F.V. C/ACRILICO 3/8(9.5MM)Ø""",MT,compra ,31/05/2023,12.39,35,400,4956
CABTERTJ-20,CABLE P/TERMOPAR TEFLON  TJ CAL.20,M,venta,12/07/2023,30,132.3,490,25063.84
CABTERTJ-20,CABLE P/TERMOPAR TEFLON  TJ CAL.20,M,compra ,16/01/2023,30,132.3,200,6000
