producto,descripcion,unidad,cantidad,importe
RONPLAM8INOX,RONDANA PLANA INOX M8,PZ,200,130
TORAL1/4NC,"TORNILLO ALLEN STD 1/4X3/4""	TUS""",PZ,100,100
TORAL1/4X1/2STD,"TORNILLO ALLEN STD 1/4X1 1/2""	TUS""",PZ,200,380
TORAL5/16X3/4,"TORNILLO ALLEN STD 5/16X3/4""",PZ,50,95
TORGAL1/8X11/4,"TORNILLO C/GOTA GALV STD 1/8X1` 1/4""	TUS",PZ,100,43.1
TORGAL1/8X3/4,"TORNILLO C/GOTA GALV STD 1/8X3/4""	TUS""",PZ,500,125
TORGOT5/32,"TORNILLO C/GOTA GALV STD 5/32X1` 1/2""	TU",PZ,100,60
TORHEXINOX1/4X2,"TORNILLO C/HEXA INOX STD 1/4X2""	TUS""",PZ,220,970.2
TORINOX3/16X1/2G,"TORNILLO C/GOTA INOX STD 3/16X1/2""	TUS""",PZ,600,490
TORINOX3/16X11/4,"TORNILLO C/GOTA INOX STD 3/16 X 1 1/4""",PZ,100,171
"TORINOX3/16X20""","TORNILLO C/GOTA INOX STD 3/16X2""",PZ,100,248
TORINOX3/16X21/2,"TORNILLO C/GOTA INOX STD 3/16 X 2 1/2""",PZ,100,300
TORINOX3/16X3/4G,"TORNILLO C/GOTA INOX STD 3/16X3/4""	TUS""",PZ,374,371.23
TORNOX3/16X11/2G,"TORNILLO C/GOTA INOX STD 3/16X 1` 1/2""	T",PZ,100,190
TUERGAL1/8,"TUERCA GALV HEXA STD 1/8""	TUS""",PZ,1800,337.44
TUERGAL3/16,"TUERCA GALV STD 3/16""	TUS""",PZ,3500,804.35
TUERHINOX1/4,"TUERCA INOX HEXA STD 1/4""",PZ,420,487.2
TUERINOXH3/16,"TUERCA INOX HEXA STD 3/16""	TUS""",PZ,4885,2782.9
TUERINOXHS/16,"TUERCA INOX HEXA STD 5/16""	TUS""",PZ,200,352
TUERINOXM3,TUERCA INOX HEXA M3,PZ,70,19.4
TUERTROQ,"TUERCA GALV TROQUELADA 1/8""	TUS""",PZ,38,7.91
VARILLA1/8,"VARILLA A/INOX  Ø 1/8X 1 MT LONG""",M,23,1094.28
CORTADORCUARZO,CORTADORES DE TUBO DE CUARZO,PZ,3,880.8
BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",PZ,20,5560
BB11/2X11/2-275W,BOQUILLA DE 1 ½ Ø x 1 ½ DE ANCHO,PZ,5,1681.68
BB2X2ST,"BOQUILLA 2X2""  350W 240V""",PZ,20,6000
TAPLAST - 1/2,"TAPON DE PLASTICO DE 5/8 PARA 1/2""Ø""",PZ,5000,5650
TAPLAST - 3/8,"TAPON DE PLASTICO PARA TUBO DE  3/8""Ø""",PZ,5000,4390
TAPLAST - 5/8,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",PZ,3000,3750
ESPGFV-2,ESPAGUETI FV C/SILICON 2MM,pz,40,320
RONSIL5/8,"RONDANA DE SILICON DIAM. 5/8 INT. 1"" EXT",PZ,40,1120
RONTEF3/4X11/4,"RONDANA TEFLON 3/4""INT X 1 1/4""EXT.",PZ,10,700
VA00359,"RONDANA TEFLON 1/4"" INT X 5/8"" EXT",PZ,20,440
76320,FUNDENTE ULTRA F 300 H EN PASTA BLANCO,PZ,1,935.6
RPAR004,"RESISTENCIA T/PARRILLA 6 1250W 240V""",PZ,15,3404.25
RPAR016,"RESISTENCIA T/PARRILLA 8 2100W 240V""",PZ,35,8728.75
TC48-AN-J-R2,CONTROLADOR DE TEMPERATURA,PZ,4,2536.4
TE0001,TERMOSTATO CAMPINI 0° A 90°C CAP.DE 1 MT,PZ,20,4726
TE0002,TERMOSTATO CAMPINI 0° A 120°C,PZ,45,10989.9
TE0003,TERMOSTATO CAMPINI 0° A 200°C,PZ,7,1773.1
TE0004,TERMOSTATO CAMPINI 0° A 320°C 1 METRO,PZ,10,3218
TE0012,TERMOSTATO CAMPINI T/CAFETERA 0° A 55°C,PZ,105,7555.29
TE0013,TERMOSTATO CAMPINI T/CAFETERA 0° A 90°C,PZ,40,2856
TE0014,TERMOSTATO CAMPINI T/CAFETERA 0° A 110°C,PZ,20,1445
ANG1X1X1/8,"ANGULO A/COMUN DE 1""X1"" X1/8",M,12,596
ANGIN1X1X1/8,"ANGULO A/INOX 1""X1""X1/8""",M,12,1794
BAREDINOX1/4C,"BARRA REDONDA INOX 1/4 Ø""",M,6,185
BAREDINOX23/4,"BARRA REDONDA INOX 2 3/4""ø (68MM)",M,0.165,550
BARHEXINOX1 1/4C,"BARRA HEXA INOX 1`1/4""	TUS""",MT,0.2,200
"BARHEXLAT-3""","BARRA HEXA DE LATON 3""",M,0.35,4890
BARHEXLAT-3/4C,"BARRA HEXA DE LATON 3/4""	TUS""",M,3.6,2412
BARRAAL 1 1/4,BARRA REDONDA DE ALUMINIO DE 1 1/4,M,3.66,1287
BARRREDRR3/4,"BARRA REDONDA INOX 3/4""	TUS""",M,1.5,385
BARRREDRR3/8,"BARRA REDONDA INOX 3/8 Ø""",M,2.5,575
BRI15MMX1/2AC,"PLACA ACERO COMUN  Ø118MMX1/2""	TUS""",PZ,3,270
CORTE001,"CORTE DE BARRA ACERO D2 2""X1 1/2""X2 3/4""",PZ,1,1271
LAMINEGRA-16,LAMINA NEGRA CAL.16,M2,3.72,1150
LAMINEGRA-20,LAMINA NEGRA CAL.20,M2,3.72,1100
LAMINEGRA-24,LAMINA NEGRA CAL.24,M2,7.4355,2074
LAMINOX-20,LAMINA INOX T304 CAL.20,M2,7.4355,7250
LAMINOXT304-24,LAMINA INOX T304 MATE CAL24 3'X10',M2,26.01,20310
LAMINOXT304-26,LAMINA INOX T304 MATE CAL26 3'X10',M2,1,2129
"PLAAC155X1/2""","PLACA REDONDA ACERO COMUN ø155MMX1/2""ESP",pz,3,330
PLAAC168X102X1/4,"PLACA A/COMUN 168MMX102MMX 1/4""",PZ,1,60
PLACA0001,PLACA ACERO D2,PZ,4,2486
PLAIN115X115X1/4,"PLACA ACERO INOX 4` 1/2X4` 1/2""X1/4""""",PZ,4,550
PLAIN117X109X1/4,"PLACA ACERO INOX 117MM X 109MM X 1/4""ESP",pz,1,172
PLAIN254X149X1/4,"PLACA ACERO INOX 254MMX149MMX 1/4""ESP.",PZ,1,480
PLAINOX30X30X1/4,PLACA ACERO INOX 30CMX30CMX1/4,pz,6,5910
PLAINOX3X3X3/16,"PLACA DE ACERO INOX 3"" X 3"" X 3/16""",PZ,1,2610
PLAT21/2X21/2X1/,"PLACA LATON 2 1/2X2 1/2X1/4""	TUS""",PZ,4,580
SOAC1X1/8,"SOLERA A/COMUN 1X1/8"" ESPESOR""",MT,3,140.01
SOLA21/2X3/16,"SOLERA INOX 2¨ 1/2"" X  3/16"" ESPESOR",M,6,2628
SOLA3/8X1/8,SOLERA LATON 3/8 X 1/8 ESPESOR,MT,9.32,1587
SOLAIX1/4X4,"SOLERA A/INOX T304 1/4""X4"" ESP",pz,1.2,2269.99
SOLAIX1/8X4,Sin datos,pz,1.7,1377.99
SOLAL1/2X21/2,"SOLERA DE ALUMINIO 1/2"" X 2 1/2",M,1,740
"SOLAL1/2X3""","SOLERA DE ALUMINIO 1/2"" X 3""",M,1,1005
VARINOX3/16,"VARILLA A/INOX  Ø 3/16X  6 MT LONG""",M,14,570
1010200000,CLEMA TIERRA WPE6 WEIDMULLER VERDE,PZ,8,182.26
1011000000,CLEMA PORTASFUSIBLE WSI 6 FUS 5X20,pz,3,193.71
1020100000,CLEMA DE PASO WDU4 WEIDMULLER,pz,8,128.88
1100100,CABLE THHW-LS CALIBRE 10  AWG NEGRO,M,20,306.83
1100101,CABLE THHW-LS CALIBRE 10  AWG ROJO,M,20,306.83
1100102,CABLE THHW-LS CALIBRE 10  AWG AZUL,M,20,306.83
1100103,CABLE THHW-LS CALIBRE 10  AWG VERDE,M,20,306.83
1100104,CABLE THHW-LS CALIBRE 10 AWG BLANCO,MT,20,306.83
1500181,CORDON AUTOM CAL.18 AWG FLEXIBLE  ROJO,pz,20,65.02
1500183,CORDON AUTOM CAL.18 AWG FLEXIBLE VERDE,PZ,10,32.51
1500184,CORDON AUTOMOTRIZ 18 AWG BLANCO FLEX,pz,100,325
39121424,TAPA P/CLEMA WEIDMULLER WDU2.5-WDU10,pz,6,56.62
520623,FUSIBLE EUROPEO 4 AMP 250V,pz,3,30
5207/CE,CINCHO NATURAL 200X2.6,pz,100,32
5473RBE,BASE NATURAL 27X27,pz,20,49.1
9810050-ABRAZA,"ABRAZADERA UÑA TUBO RIGIDO 1/2""Ø",pz,10,13.68
9810100-ABRAZA,"ABRAZADERA UÑA TUBO RIGIDO 3/4""Ø",pz,10,11.18
AEM33/150PM,GABINETE METALICO 30CMX30CMX15CM,pz,1,700
AEMX43/200PM,GABINETE DE ACERO INOX 40CMX30CMX20CM,pz,1,3788.85
AX4-1A,CONTROLADOR DE TEM. HANYOUNG DIGITAL,PZ,6,4609.44
CLABLIND,CLAVIJA 125V 15A 2P LEVITON MOD 515PV,PZ,15,329.25
COPA1/2,"CONECTOR P/CABLE USO RUDO 1/2""	TUS""",PZ,20,112.6
COPA3/4,"CONECTOR P/CABLE USO RUDO 3/4""	TUS""",PZ,15,126.75
HLR-12-CONECTOR,"CONECTOR LIQUIDTIGHT 1/2""Ø (13MM)",pz,2,37.8
HLR-34-CONECTOR,"CONECTOR LIQUIDTIGHT 3/4""Ø (19MM)",pz,4,122.72
HUM18-2X16,MINI INTERRUPTOR DE 2 POLOS 16 AMP,pz,1,132.99
HUM18-3X32,MINI INTERRUPTOR 32AMP 3 POLOS,pz,1,225.06
LW30-32,DESCONECTADOR TRIPOLAR 32 AMP,pz,1,614.9
RELEOCTAL,RELE OCTAL 230V 10A 8 PINES,PZ,1,185.45
RM1A23D50,RELEVADOR ESTADO SOLIDO,PZ,1,673.82
TC4S-14R,CONTROLADOR DE TEMPERARTURA,PZ,2,2018.02
VA00169,CONTROL DE TEMP. DIGIAL AX2-4A,PZ,4,4069.12
VA00182,CONTROL AUTONICS MOD TC4S-24R,PZ,2,2098.84
VA00358,INTERRUPTOR LIMITE AUTOICS CM-1307,PZ,1,95.04
ZAP0094,"ZAPATA OJILLO A.T. CAL 1-0 3/8""",PZ,1,33.67
ZAP0095,"ZAPATA OJILLO A.T. CAL 1-0 1/2""",PZ,1,35.49
SOLPLAT-1/16,"VARILLA SOLDADURA/PLATA 1/16ØX18"" LONG""",PZ,955.719,172998.04
"COLFVALUM1.1/2""","COLCHA FV C/CARA ALUMINIZADA 1.1/2""",M,30.48,1796.53
THINNER,THINNER,L,20,560.34
LADRI9X41/2X21/2,"LADRILLO ALTA  9 X4 1/2X2 1/2""""",PZ,50,3430.25
MORTEROM/H-318,MORTERO REFRAC HUMEDO MH-318,pz,1,948.62
"P.CERAM 1/8""","CERAMICO PAPEL 1/8""ESP x 24"" x 125",M,38.1,4748.5
ALT-30,"ALAMBRE TIPO ""T"" CAL.30 FORRO TEFLON",MT,4,412
CABTERTR-20,CABLE P/TERMOPAR FV TIPO R CAL.20,MT,6,630
GAS0002,GAS ARGON INDUSTRIAL DE 10 M³,PZ,2,3620.69
GAS001,GAS OXIGENO INDUSTRIAL 10 M³,PZ,20,11207
MCNAN,MODULO DE CONTROL P/SELLADORA,PZ,2,2196
MIC-SELL,MICROSWITCH P/SELLADORA 18AMP 250VAC,PZ,20,1000
TRANS-SELL-50CMS,TRANSFORMADOR P/SELLADORA 50 CM 50 AMP,PZ,2,2851.2
VA00212,SELLADORA DE PEDAL 1.20 MTS LONG,PZ,2,14101.3
VA00228,"RESISTENCIA P/SELLO Y CORTE 1/4""",M,26,4940
VA00305,RES. PARA SELLO Y CORTE DE 1/8 ANCHO,M,9,1080
VA00329,SELLADORA DE PEDAL DE 50CMS,PZ,2,6260.4
VA00345,SELLADORA DE PEDAL 30CM SELLO Y CORTE,PZ,1,3109.5
BRI3ACNOM150-4,"BRIDA AC 3 Ø NOM. C/4 BARR CIEGA""",PZ,4,1001.09
BRIACINOX6NOM150,"BRIDA INOX 6""NOM 150 LBS CIEGA",PZ,2,4198
LAMIESPEJO-20,LAMINA TIPO 304 ACABADO BA C-20 4 X 10,M2,1,3916.97
TAPMACHINOX21/2,TAPON MACHO HEXA INOX 3000 NPT ROS 2 1/2,pz,17,15603.97
"COLFVALUM1.1/2""","COLCHA FV C/CARA ALUMINIZADA 1.1/2""",M,121.84,7227.88
CARBONBR,CARBON DE GRAFITO PARA SISTEMA ELECTRICO,PZ,8,370.48
PC200,SELLADORA BROTHER PCS200,PZ,6,2708.16
PC300,SELLADORA BROTHER PCS300,PZ,13,10515.18
PC400,SELLADORA BROTHER PCS400,PZ,7,7392.98
REPSEL20,REPUESTO P/SELLADORA 20 CM,PZ,15,248.1
REPSEL30,REPUESTO P/SELLADORA 30 CM,PZ,45,992.25
REPSEL40,REPUESTO P/SELLADORA 40 CM,PZ,15,413.4
AEROPACK-K-1/8,"AEROPACK TIPO ""K"" DE Ø 1/8",MT,2,340
ALEK14,"ELEMENTO TERMOPAR TIPO K"" CAL.14""",MT,30,3300
CABPT1003HILOPVC,CABLE P/PT100 3 HILOS FORRO PVC CAL.20,M,100,5500
CABPT100T4,CABLE P/PT100 4 HILOS CAL.24  TEFLON,M,100,7500
CABTERM-24,CABLE P/TERMOPAR MALLA TK CAL.24,MT,200,11200
CABTERTJ-24,CABLE P/TERMOPAR MALLA TJ CAL. 24,MT,100,3900
CER0126,"TUBO CERAMICO FUNDA 17MMØ X 36 LONG""",PZ,9,6390
CERAISON-14-28,CERAMICO OVALADO P/ ELEMENTO C-14- 2 BAR,PZ,300,2400
CERAISOV-8-2B,CERAMICO OVALADO P/ELEMENTO CAL 8 2 BARR,PZ,300,2700
CIN803.18X.127,CINTA NICROMEL 3.18X0.127X2.8OHMS,pz,2.66,10073.42
SENPT100,BULBOS RTD PT-100 CLASE B,PZ,100,8000
SENPT1000,BULBO RTD PT-1000 CLASE B,PZ,15,2700
TUPLINOX3/16X1/4,"TUBO PLICA INOX Ø INT 3/16 EXT 1/4""""",MT,100,7500
EMPLALLE,ROLLO DE PELICULA ESTRECHABLE P/EMPAQUE,PZ,13,796.17
FBUR1/4X2 1/2,BURIL COBALTO 1/4X1/4X2 1/2,PZ,10,653
FDCA30-727,DISCO DE CORTE AUSTROMEX CLAVE 750,PZ,30,1404
FHCA,Cepillo De Alambre,PZ,4,324.4
GUANTE9,GUANTE DE CARNAZA Y LONETA GU-215,PZ,10,861
LIJA120A,LIJA FANDELI GRANO 120,PZ,50,860
LIJANEG240,"HOJA LIJA NEGRA N.240 9X11""""",PZ,50,390
PASTAVERDE-TZ,Pasta Verde TENAZIT P/Acero Inoxidable,PZ,3,613.5
PIN-AER-004,Pintura en Aerosol COMEX NEGRO 400ML,PZ,6,584.4
RUEDA745,RUEDA FLAP PARA REBABE- ACABADO GRANO 80,PZ,1,555.4
THINNER,THINNER,L,65,1521
TRAPO,BOLSA DE TRAPO INDUSTRIAL,KG,20,687
TUCO1/2C,"TUBO COBRE 1/2"" T/L (0.625""ODX0.040""WT)",MT,6,672.43
TUCO1/4C,"TUBO COBRE 1/4"" T/L (0.375""ODX0.030""WT)",M,12,1080
VA00252,"CINTA FV SCOTCH 3M ADHERENTE 3/4"" Ó 18MM",PZ,2,1360.4
16AMP-6200,"TAPA SANITARIA ESTILO CLAMP 2""",PZ,2,164.24
"FTATARRAJ1""X1/8","DADO TARRAJA 1/8-27 NPT (1"")",PZ,5,697
INSUMO7,PERLA DE VIDRIO 60/80,KG,72.68,4120
LENTELASER,LENTE CAMFIVE LASER PARA CABEZAL,PZ,2,5112.2
BAAC1/8X3,"VARILLA A/COMUN Ø 1/8X 3 MT LONG""",M,62,282.13
TE0052,TERMOSTATO R.SHAW B/C 15° A 120°,PZ,10,9900
TE0056,TERMOSTATO R. SHAW C/TOPE  50° A 300°C,PZ,13,15950
TE0062,TERMOSTATO INFINITO 120V,PZ,10,3500
ESPG-12,ESPAGUETI F.V. C/ACRILICO 12MM Ø,MT,1350,21109.5
ESPG-2,ESPAGUETI F.V. C/ACRILICO 2MM Ø,MT,200,384
ESPG-25,ESPAGUETI F.V. C/ACRILICO 25MMØ,M,50,2495
ESPG-3/4,"ESPAGUETI F.V. C/ACRILICO 3/4(19MM)Ø""",M,450,14692.5
ESPG-3/8,"ESPAGUETI F.V. C/ACRILICO 3/8(9.5MM)Ø""",MT,400,4956
ESPG-6,ESPAGUETI F.V. C/ACRILICO 6MM Ø,MT,1100,6842
ESPG3MM,ESPAGUETI F.V. C/ACRILICO 3MM Ø,MT,600,1800
"ESPGFVS-1/2""","ESPAGUETI FVC/SILICON 250° 1/2""(12.5mm)",MT,100,1633
ESPGS-3/16,"ESPAGUETI FV C/SILICON 3/16""	""	MT""",M,100,575
ESPGS-5,ESPAGUETI FV C/SILICON 5MM Ø,MT,800,4824
ESPGS3/8,"ESPAGUETI FV C/SILICON 3/8""	""	MT""",M,150,1785
CERTRENA2,CERAMICO T/TREN TIPO A 2 BARR LISA,PZ,5000,1971.25
CERTRENA3,CERAMICO T/TREN TIPO A 3 BARR LISA,PZ,5000,2386.25
CERTRENA6,CERAMICO T/TREN TIPO A 6 BARR LISA,PZ,5000,4668.75
"SOLERA3""","SOLERA ACERO COMUN DE 3"" X 1/8 DE ESP.",MT,9,623.82
VA00355,ANY CUBIC RESINA TOUGH WHITE 1KG,KG,1,1200
VA00356,ALCOHOL ISOPROPILICO 5LT,L,1,920
VA00363,RESINA PLUS PRO COLOR GRIS,KG,2,1540
VA00364,PELICULA FEP POTHON MONO 4K,PZ,2,700
VA00362,ESCOBILLA DE CARBON PARA MOTOR,PZ,2,111.62
TONERHP17X,TONER GEN HP 17X,PZ,1,258.62
TONERHP85A,TONER GEN HP 85A,PZ,4,982.76
BRI3ACNOM150-4,"BRIDA AC 3 Ø NOM. C/4 BARR CIEGA""",PZ,2,951.84
PTR1 1/2-14,"PERFIL PTR 1 1/2"" CAL 14",pz,2,780
BRI3ACNOM150-4,"BRIDA AC 3 Ø NOM. C/4 BARR CIEGA""",PZ,2,709.22
TAPACINOXX21/2,"TAPON MACHO HEXA INOX 150 NPT 2 1/2""",PZ,4,837.78
TAPMACHINOX,TAPON MACHO HEXA INOX 3000 NPT ROS 1 1/2,pz,3,689.62
"TAPMACHINOX1""","TAPON MACHO HEXA INOX 3000 NPT ROS 1""",pz,2,218.24
TAPMACHINOX2,"TAPON MACHO HEXA INOX 3000 NPT ROS 2""",pz,8,1510.14
TAPMACHINOX3/4,"TAPON MACHO HEXA INOX 3000 NPT ROS 3/4""",pz,4,253.16
"COLCHAFC2""","COLCHA FIBRA CERAMICA 2""ESP",pz,1,3715.74
